VOLTAGE	POWER
0	0
0.2	0.011596768884166
0.4	0.022306773252704
0.6	0.0330167776212421
0.8	0.0437267819897802
1	0.0544367863583183
1.2	0.0651467907268564
1.4	0.0758567950953945
1.6	0.0865667994639325
1.8	0.0972768038324706
2	0.107986808201009
2.2	0.118696812569547
2.4	0.129406816938085
2.6	0.140116821306623
2.8	0.150826825675161
3	0.161536830043699
3.2	0.172246834412237
3.4	0.182956838780775
3.6	0.193666843149313
3.8	0.204376847517851
4	0.21508685188639
4.2	0.225796856254928
4.4	0.236506860623466
4.6	0.247216864992004
4.8	0.257926869360542
5	0.266114592306165
