VOLTAGE	POWER
0	0
0.2	0.00774141102254708
0.4	0.0245609037435709
0.6	0.0413803964645947
0.8	0.0581998891856185
1	0.0750193819066423
1.2	0.0918388746276661
1.4	0.10865836734869
1.6	0.125477860069714
1.8	0.142297352790738
2	0.159116845511761
2.2	0.175936338232785
2.4	0.192755830953809
2.6	0.209575323674833
2.8	0.226394816395857
3	0.24321430911688
3.2	0.260033801837904
3.4	0.276853294558928
3.6	0.293672787279952
3.8	0.310492280000976
4	0.327311772721999
4.2	0.344131265443023
4.4	0.360950758164047
4.6	0.377770250885071
4.8	0.394589743606095
5	0.406883649552436
