VOLTAGE	POWER
0	0
0.2	0.0253976921077896
0.4	0.0424891522705965
0.6	0.0551533392621593
0.8	0.0654261507879586
1	0.0743594737734432
1.2	0.0824292939400558
1.4	0.0898139396673951
1.6	0.0965702806993011
1.8	0.102732694312584
2	0.108356603628055
2.2	0.113525384804453
2.4	0.11833643191679
2.6	0.122879160381595
2.8	0.127214721852442
3	0.131364195570106
3.2	0.135309013212619
3.4	0.139004366351442
3.6	0.142403337680884
3.8	0.145486489248859
4	0.148288632977996
4.2	0.150911500827056
4.4	0.153508024003535
4.6	0.156220922699296
4.8	0.159055299881972
5	0.161779487013175
